req_id,requirement,status,wave,primary_evidence
F-01,"Protocol fee 16 bps; buyback 12 + treasury 4",done,W02,"packages/shared/src/constants/fee.ts"
F-02,"Fee instructions after cleanup before Jito tip",done,W02,"packages/tx-composer/src/composer.ts"
F-03,"Apply fee when vault and treasury configured",done,W02,"apps/api/src/services/build.ts"
F-04,"Fee applies to SOL input mint only (wSOL gate)",partial,W02,"apps/api/src/services/build.ts"
DB-01,"Migration: liquidity fees cross-chain evm rewards tables",done,W01,"apps/api/src/db/migrations/0003_liquidity_and_fees.sql"
ENV-01,"API env: fee vault treasury pools stub flags debridge",done,W01,"apps/api/src/env.ts"
TOK-01,"Solana Token-2022 mint script complete",gap,W03,"scripts/create-rawswap-token.ts"
TOK-02,"EVM RawSwapToken deployable tested",partial,W11,"contracts/evm/src/RawSwapToken.sol"
POOL-01,"Orca pool creation script/SDK",gap,W04,"packages/lp-sdk scripts/pools"
POOL-02,"Raydium pool creation script/SDK",gap,W04,"packages/lp-sdk scripts/pools"
LP-01,"lp-sdk depends on orca whirlpools-sdk",gap,W01,"packages/lp-sdk/package.json"
LP-02,"lp-sdk depends on raydium-sdk-v2",gap,W01,"packages/lp-sdk/package.json"
LP-03,"LP API returns Orca/Raydium unsigned txs",gap,W07,"apps/api/src/routes/liquidity.ts"
LP-04,"LP preview includes real tx when ready",partial,W07,"apps/api/src/services/liquidity.ts"
UI-01,"Liquidity page forms and preview",done,W08,"apps/web/src/app/liquidity"
UI-02,"Liquidity polish harvest positions",gap,W09,"docs/audit/spec-v2-wave-09.md"
CMP-01,"Compounder vault monitor real balance",gap,W05,"apps/compounder/src/monitor.ts"
CMP-02,"Compounder Jupiter buyback",gap,W05,"apps/compounder/src/buyback.ts"
CMP-03,"Compounder Orca/Raydium deposit txs",gap,W05,"apps/compounder/src/deposit-orca.ts"
CMP-04,"BullMQ worker integration",gap,W06,"apps/compounder/src/index.ts"
NTT-01,"NTT Solana deploy automation",gap,W10,"scripts/deploy-ntt-solana.ts"
NTT-02,"NTT EVM manager contracts",gap,W12,"contracts/evm"
NTT-03,"NTT peer registration automation",gap,W13,"scripts/register-ntt-peers.ts"
BRG-01,"Bridge UI and API proxy create-tx",partial,W14,"apps/web apps/api routes/bridge.ts"
BRG-02,"DLN order state fetch in API",gap,W15,"packages/cross-chain/src/debridge/create-tx-url.ts"
BRG-03,"dlnHook serialized instructions auto-LP",gap,W15,"—"
EVM-01,"EVM liquidity pool deployments",gap,W16,"docs/audit/spec-v2-wave-16.md"
EVM-02,"ERC4626 fee vault production",gap,W17,"contracts/evm/src/FeeVault.sol"
RWD-01,"Rewards programs and claims",gap,W18,"docs/research/rewards-wave-18.md"
INT-01,"Integration checklist execution",partial,W19,"docs/research/integration-wave-19.md"
HRD-01,"Hardening checklist CI security",partial,W20,"docs/research/hardening-wave-20.md"
